"gene","logFC","logCPM","F","PValue","FDR"
"CSTF1",0.0342808159640215,4.97177449193271,4.0352578497082,0.0451896004316936,0.106593456867338
"FCRL5",-0.196682706453689,5.26347544018139,4.03498630356235,0.0451968015629874,0.106593682919028
"TRBJ1-1",-0.106298021235829,0.473543380848593,4.03228725280328,0.0452699953964513,0.106743450687755
"THAP2",-0.118530906002731,1.95455448750702,4.0320655221464,0.0452745351770555,0.106743450687755
"CICP14",-0.154893151474288,2.76090280962678,4.0315142495696,0.0452890631181686,0.106760924716965
"DPH5",-0.0999014567106962,3.67032240663492,4.03086015822456,0.0453064049141064,0.1067850253765
"NR2C2",-0.108275779947934,5.83484383025357,4.02874240601536,0.0453627302370942,0.1069009863363
"MICOS10P2",0.132495987109337,0.353643997414848,4.02508396901236,0.0454623063855575,0.107118818972221
"ARHGAP12",-0.152672538566567,3.42161711792818,4.02401733505226,0.0454887615418708,0.107164321710293
"LINC01355",-0.112011079414446,2.62410480074973,4.02347972584114,0.0455031680085405,0.107181429810665
"PFDN5",0.151274108359878,6.64291610547172,4.02253874324504,0.0455282279087343,0.107223622462611
"PPFIA3",-0.0995904977983065,1.30791102561093,4.02126425167665,0.0455627446835631,0.107288070278263
"TMEM87A",0.0495252408714984,5.13618529766611,4.01978927001104,0.0456017814519708,0.107363139570381
"CD8A",-0.132881615622476,7.90942349817034,4.01730656030617,0.0456683053226611,0.10748888996466
"VMAC",-0.0676252336783385,3.82484726106945,4.01726172108877,0.0456695230392444,0.10748888996466
"SRSF11",-0.136440683734028,6.58972337515106,4.0169155167861,0.045678792812129,0.107493843100794
"MAN1A1",0.153730217580226,5.50943656665377,4.01476677235609,0.0457364658685757,0.107612682082869
"MIR22HG",0.107253540054371,3.34810139990029,4.01413176060098,0.0457535656895624,0.107636034573438
"LDHAP3",0.143448943301059,0.127604953805632,4.01181014964289,0.0458185519679871,0.107772015776692
"HVCN1",-0.0773563477344996,6.69172287631087,4.00819004143821,0.0459134654863643,0.107962172212387
"SH3BP5L",0.0793308953124191,6.85924341097606,4.00817805431355,0.0459137887425028,0.107962172212387
"SSNA1",0.0834952957749247,6.1061230627887,4.00773271197056,0.0459258006229421,0.107973493331042
"ZNF708",-0.166498082457576,2.79667644243686,4.0073218499884,0.0459369555430325,0.107982796467655
"SELENOS",0.0562640328229553,4.47428633152569,4.00677782651702,0.0459515705175299,0.108000228874194
"RORA",-0.158178534407146,5.61805114682527,4.00651065541631,0.0459587791807238,0.108000251451945
"FOXO4",0.115537872162772,6.33018484419238,4.0060559241411,0.045971056720116,0.10801218369854
"MRE11",-0.0577533403489186,4.45439235590117,4.00469652302671,0.0460077848750278,0.108081551627806
"LANCL1",-0.111383016953432,4.57368918953309,4.0037016707198,0.0460346799376477,0.108127801538217
"CHD7",-0.0891573676228116,4.31310170760855,4.002668850173,0.0460626223327732,0.108176496593028
"RAB3D",0.12132144904644,7.24180089749423,4.0016447583544,0.0460903384882687,0.108224645171546
